experiment_id,algorithm,weather_mode,candidate_no,parameters_json,mean_cv_mae,std_cv_mae,overall_cv_rmse,overall_cv_smape
E00,seasonal_naive_24,W0,1,{},0.5953974339887705,0.10785397706237801,0.8744371909761142,51.685515082358165
E10,ridge,W0,1,"{""alpha"": 0.01}",0.5403146326825349,0.07812126075781495,0.7034777002995698,54.67910237826392
E10,ridge,W0,2,"{""alpha"": 0.1}",0.54031495501467,0.07812169266861169,0.7034777617253738,54.67903562551547
E10,ridge,W0,3,"{""alpha"": 1.0}",0.5403181875291551,0.07812600789707566,0.7034783850867682,54.67837138177042
E10,ridge,W0,4,"{""alpha"": 10.0}",0.5403508066324281,0.07816905022642322,0.7034855072115297,54.67184616851027
E10,ridge,W0,5,"{""alpha"": 100.0}",0.5407138934062412,0.07858386288559452,0.7036274796284676,54.61642806811724
E10,ridge,W0,6,"{""alpha"": 1000.0}",0.5445738459549103,0.08129421426121454,0.7065525749350479,54.453278898966076
E11,random_forest,W0,1,"{""bootstrap"": true, ""max_depth"": 12, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 6, ""n_estimators"": 300, ""random_state"": 42}",0.4614746959222026,0.05688627103111794,0.6235641085620067,45.87096475934545
E11,random_forest,W0,2,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300, ""random_state"": 42}",0.4582133455685691,0.057895965764383196,0.6276602050177947,44.85909687898536
E11,random_forest,W0,3,"{""bootstrap"": true, ""max_depth"": 12, ""max_features"": 0.7, ""max_samples"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""random_state"": 42}",0.45628053745008795,0.056814664461087946,0.6254853427537702,44.724652062986046
E11,random_forest,W0,4,"{""bootstrap"": true, ""max_depth"": 12, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""random_state"": 42}",0.4620559574872185,0.05591996273118931,0.6242261852868954,45.893136851167434
E12,hist_gradient_boosting,W0,1,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_iter"": 400, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 100, ""random_state"": 42}",0.47324074534104127,0.0695187629134216,0.6469666359510913,46.26213178054275
E12,hist_gradient_boosting,W0,2,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50, ""random_state"": 42}",0.45752764140562474,0.06106596955629562,0.6221530036183248,45.209154594453885
E12,hist_gradient_boosting,W0,3,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 100, ""random_state"": 42}",0.4576878780478002,0.0642927311804926,0.6262595098303085,44.824170010051176
E12,hist_gradient_boosting,W0,4,"{""early_stopping"": false, ""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50, ""random_state"": 42}",0.4574977664997218,0.06119109411567047,0.6220561136181103,45.21109393623763
E01,seasonal_naive_168,W0,1,{},0.5558825505598578,0.08526344467907455,0.8275649177519029,49.60529092929992
E20,ridge,W1,1,"{""alpha"": 0.01}",0.5351980856276883,0.07900200987288236,0.7002435477607546,54.903386603378394
